review_body,class
"- Cómo aparece en la imagen, perfecto. Es un producto de calidad y el vendedor lo envío bastante rápido.- *",1
"...y ya van dos, American Crew productos que no me funcionan. Esta cera no entiendo muy bien cual es su utilidad. Deja el pelo super áspero, como si te pusieras agua con azúcar o similar. La fijación no es muy allá tampoco, por lo que en pelo semi largo no es muy útil, ya que ni la textura ni el look que deja son muy favorecedores..",0
1 mes y medio y aún no me ha llegado... No volveré a comprar,0
"3 días después de la fecha máxima prevista de entrega no se ha recibido el pedido. Puesto en contacto con el vendedor, respuesta automática.",0
4 meses esperando y nunca llego,0
"6 libros infantiles con estupenda calidad precio, pero lo más importante es lo que se divierte el peque, los mete en su bañera, se los lleva al parque y también los usa en el arenero, y siempre limpitos y nuevos",1
A ESTO LE HAN SALIDO UNOS CIRCULOS EN TODO EL CENTRO. QUE IGUAL PAL CARNAVAL ME VALEN 👌 QUE COSA MAS RIDICULA.,0
A cumplido las espectativas es lo que esperaba.,1
A cumplido toda mis espectativas,1
"A la hora de colgarlo en el carrito del bebé no quedaba bien , se nota que es de baja calidad!!",0
A la segunda usada se le salió el palo y la esponjita. Muy malo. Por unos euros más compraros otro.,0
A llegado en perfecto estado,1
A los 2 minutos de estar con la moto arrancada salio volando el db Killer. Muy mala calidad.,0
A los 3 doas desgraciadamente me dejo de funcionar,0
"A los dos días de usar la mascarilla, sin otro motivo posible que el uso de ésta, se me han pelado los pies, tanto las plantas como el empeine... El olor de la mascarilla, además, es desagradable. No lo recomiendo",0
A mi bebe le encanta!! Lo coge facil como si fuera el chupete y lo muerde con facilidad,1
"A mi bebé de 4 meses Le encanta. No lo pondría solo de calcetin ya que son muy anchos y van grandes, los pongo encima del calcetín, como zapatito",1
A mi hermana la encanto es de calidad y mucha por qué la pegamos mal y está por fuera donde el parabrisas trasero y ni se ha despegado ni rayado nada. Ni ahora en verano que hace calor se ha visto debilitada. Un 10,1
"A mi hijo no parece hacerle ningún efecto, ademas, no le gusta el sabor.",0
"A mi mujer le encanta y le queda muy bien, la talla tal cual la que pidió",1
A mi niña le encanta,1
"A mi niña le encanta, tiene 2,5 años y ya va por la segunda!",1
"A mi peque le gusta, es facil de agarrar y las bolitas que lleva dentro le llaman mucho la atencion.",1
A mi personalmente no me ha hecho nada. Igual que cuando me echo crema de manos y he sido constante. No lo volveria a comprar.,0
"A mí me gusta mucho, con ese precio, creo sí que vale la pena. . . . . . . .",1
"A mí no me ha gustado nada. En primer lugar, no me deja el contorno de ojos hidratado. Tengo esa zona muy seca y no me soluciona nada. Si os digo, me deja la zona más seca aún, además de que desprende mucho olor y no me gusta que la crema huela, me produce dolor de cabeza.",0
"A mí no me han gustado, se ensucian enseguida, el material es malo y la llave queda mucho más grande, pensaba que era más fina. Caro calidad/precio. Me esperaba otra cosa.",0
"A mí no me han gustado. Después de probar los de otra marca, q además son de cristal...estos me parecen muy malos",0
"A mí no me resulta cómodo de usar, pues se me pone dolor de cabeza con tanto calor.",0
"A mí personalmente no me ha gustado porque la parte dnd apoyas para meterte la cabeza no sujeta bien,asi que no he podido utilizar",0
"A nosotros nos están funcionando muy bien, las instalamos hace meses y ahí siguen sin moverse. Te dan mucha tranquilidad.",1
"A nuestro bebé le apretan un poco las gomas, pero las diademas son muy bonitas, igual que en las fotos.",0
"A pasada tanto tiempo que ni me acuerdo,i aun sigue son llegarme él pedido.i no veo tampoco él reembolso.gracias espero respuesta",0
A pesar de haber llegado con casi 1 mes de retraso con respecto a la fecha que se indicaba,1
A pesar de la claridad en la talla pedida me envian otra mas grande y me toca hacer todos los tramites de la devolución,0
"A pesar de lo que dicen, el aparato que me llegó a mí no calienta nada, ni con gel conductor ni con él. Lo que sí he notado es que te da un pequeño calambre si lo pones un poco más inclinado, pero no emite ningún calor y ni siquiera noto un efecto flash instantáneo y tras un par de semanas, las arruguitas que tengo ahí siguen. Yo desde luego, no lo recomiendo.",0
"A un no las ha mojado mi hija, pero el tacto es bueno",1
"A veces se quedan enganchadas algunas monedas, sobre todo cuando hay pocas... pero por lo demás bastante bien.",1
A veces se te bajan al andar y la resulta es una ampolla chachi. El precio sin embargo esta bien,0
A venido presioso y para la sección de fotos está genial,1
"A ver, fijar fija mogollón (para mi gusto demasiado) y por eso le doy las 2 estrellas. Pero el aspecto que da al pelo no me gusta nada. Deja un aspecto mate, parece que el pelo estuviera estropeado, como si fuese alambre. La textura que deja tampoco me gusta, queda el pelo muy duro y me he arrancado alguno al intentar peinarme con los dedos para bajar un poco la fijación. Además, como no aclare bien y en el momento la superficie sobre la cual me la echo (en mi caso el lavabo), cuando se seca lo deja con una película mate y rugosa como si llevara sucio un mes. No repetiré y eso que soy fan de Tigi. Me vuelvo a Queen for a day, que decir bonito es poco para como deja el pelo.",0
"A ver, la calidad es un poco mala. Parce que los corchetes y que las costuras se van a deshacer. No he metido un paraguas mojado todavía en ella, la tengo por si las moscas, pero creo que cumplirá su función. O eso espero. Para lo que cuesta vale probar (aunque con la correa esa que tiene no creo que aguante tantos paraguas como los de la foto ni de coña) xD.",1
"A ver, no esperéis la mejor calidad del mundo, pero para lo que cuesta no está mal, aunque si lo que quieres es ir bien, no lo recomiendo, se nota que son baratos 😅",1
"A ver... Teniendo en cuenta que yo soy más bien patosa con las manualidades... Para mí hacer los nudos me ha sido imposible. Si te apañas bien con hacer los nudos con la cuerda donde metes las cositas cógelo sin duda porque mola mogollón. Pero si eres patosa como yo, pide ayuda. Pero cómpralo porque mola un montón. Las piezas son blanditas :)",1
A ver....no tapa demasiado...solo la protege del sol en la cara pero bueno...dentro de lo que cabe es lo importante,1
Abierto y puerta doblada,0
"Absolutamente perfecto ,y compré también el de color gris después de una semana para tener los dos",1
"Absolutamente terrible. Primera y última vez que compro un producto reacondicionado de Amazon. Elegí una unidad catalogada “como nuevo”. Vino la caja destrozada literalmente. Sonaba tal cual un sonajero de tornillos. Cuando lo abrí faltan piezas, tornillos, turcas... NUNCA MÁS. No hubo revisión alguna del producto. Es una tomadura de pelo y pérdida de tiempo.",0
Absorben bien pero no reparten la leche por el disco Pena que son distintos del que me dieron de muestra,1
"Acabo de recibir el paquete y al instalarlas cuál es mi decepción cuando 1 de las 2 no funciona. No parece estar fundida, pero no funciona. Además era urgente para mí...",0
"Acabo de recibir el pedido de calcetines Vicent Creation. En cuanto los abrí, pude observar que los acabados son bastante malos. Se empieza a deshilachar por el borde y las costuras. Pero lo peor es el tamaño. Seleccioné la talla 39-42 (yo tengo un 40) y los calcetines son enormes. Se arrugan en el zapato y son muy incómodos.",0
Aceite es lo q es el encio llego antes de lo previsto bien embalado contento con la compra,1
"Aceite perfecto y recomendado por la marca para Ford Focus 1.8 tdci ,la garrafa es de 5 litros con un indicador para ver el aceite restante",1
Acorde el precio con la calidad la única pega es que resbala la parte de abajo al ponerlo en una mesa de madera,1
"Acostumbrado a comprarla en otra web especializada en perfumes , esta vez estaba agotada y lo pedi por amazon , pero la diferencia es abismal. En este caso se nota excesivamente que no es la original",0
"Acrílico puro. Si os gusta el algodón este producto no os va a gustar. Lo único que no me gustó fue el tejido, las costuras están bien y es muy cómodo",1
"Ademas de que las encuentro demasiado artificiales, son difíciles de poner",0
"Además de no notar resultados relevantes, no me gusta que cree como una película sobre mi piel, si me aplico maquillaje encima se retira la crema en ""pegotes"".",0
Agujeros muy pequeños no sale casi leche,1
Ajusta muy bien aunque se puede quitar fácil y si lo dejo puesto es posible que los amigos de lo ajeno se lo lleven,1
